Product Name,SKU,Power,Base Curve,Diameter
Focus DAILIES All Day Comfort (30 lenses),630175461780,-10,8.6,13.8
Focus DAILIES All Day Comfort (30 lenses),630175461773,-9.5,8.6,13.8
Focus DAILIES All Day Comfort (30 lenses),630175461766,-9,8.6,13.8
Focus DAILIES All Day Comfort (30 lenses),630175461759,-8.5,8.6,13.8
Focus DAILIES All Day Comfort (30 lenses),630175461742,-8,8.6,13.8
Focus DAILIES All Day Comfort (30 lenses),630175461735,-7.5,8.6,13.8
Focus DAILIES All Day Comfort (30 lenses),630175461728,-7,8.6,13.8
Focus DAILIES All Day Comfort (30 lenses),630175461711,-6.5,8.6,13.8
Focus DAILIES All Day Comfort (30 lenses),630175461704,-6,8.6,13.8
Focus DAILIES All Day Comfort (30 lenses),630175461698,-5.75,8.6,13.8
Focus DAILIES All Day Comfort (30 lenses),630175461681,-5.5,8.6,13.8
Focus DAILIES All Day Comfort (30 lenses),630175461674,-5.25,8.6,13.8
Focus DAILIES All Day Comfort (30 lenses),630175461667,-5,8.6,13.8
Focus DAILIES All Day Comfort (30 lenses),630175461650,-4.75,8.6,13.8
Focus DAILIES All Day Comfort (30 lenses),630175461643,-4.5,8.6,13.8
Focus DAILIES All Day Comfort (30 lenses),630175461636,-4.25,8.6,13.8
Focus DAILIES All Day Comfort (30 lenses),630175461629,-4,8.6,13.8
Focus DAILIES All Day Comfort (30 lenses),630175461612,-3.75,8.6,13.8
Focus DAILIES All Day Comfort (30 lenses),630175461605,-3.5,8.6,13.8
Focus DAILIES All Day Comfort (30 lenses),630175461599,-3.25,8.6,13.8
Focus DAILIES All Day Comfort (30 lenses),630175461582,-3,8.6,13.8
Focus DAILIES All Day Comfort (30 lenses),630175461575,-2.75,8.6,13.8
Focus DAILIES All Day Comfort (30 lenses),630175461568,-2.5,8.6,13.8
Focus DAILIES All Day Comfort (30 lenses),630175461551,-2.25,8.6,13.8
Focus DAILIES All Day Comfort (30 lenses),630175461544,-2,8.6,13.8
Focus DAILIES All Day Comfort (30 lenses),630175461537,-1.75,8.6,13.8
Focus DAILIES All Day Comfort (30 lenses),630175461520,-1.5,8.6,13.8
Focus DAILIES All Day Comfort (30 lenses),630175461513,-1.25,8.6,13.8
Focus DAILIES All Day Comfort (30 lenses),630175461506,-1,8.6,13.8
Focus DAILIES All Day Comfort (30 lenses),630175461490,-0.75,8.6,13.8
Focus DAILIES All Day Comfort (30 lenses),630175461483,-0.5,8.6,13.8
Focus DAILIES All Day Comfort (30 lenses),630175461476,0.5,8.6,13.8
Focus DAILIES All Day Comfort (30 lenses),630175461469,0.75,8.6,13.8
Focus DAILIES All Day Comfort (30 lenses),630175461452,1,8.6,13.8
Focus DAILIES All Day Comfort (30 lenses),630175461445,1.25,8.6,13.8
Focus DAILIES All Day Comfort (30 lenses),630175461438,1.5,8.6,13.8
Focus DAILIES All Day Comfort (30 lenses),630175461421,1.75,8.6,13.8
Focus DAILIES All Day Comfort (30 lenses),630175461414,2,8.6,13.8
Focus DAILIES All Day Comfort (30 lenses),630175461407,2.25,8.6,13.8
Focus DAILIES All Day Comfort (30 lenses),630175461391,2.5,8.6,13.8
Focus DAILIES All Day Comfort (30 lenses),630175461384,2.75,8.6,13.8
Focus DAILIES All Day Comfort (30 lenses),630175461377,3,8.6,13.8
Focus DAILIES All Day Comfort (30 lenses),630175461360,3.25,8.6,13.8
Focus DAILIES All Day Comfort (30 lenses),630175461353,3.5,8.6,13.8
Focus DAILIES All Day Comfort (30 lenses),630175461346,3.75,8.6,13.8
Focus DAILIES All Day Comfort (30 lenses),630175461339,4,8.6,13.8
Focus DAILIES All Day Comfort (30 lenses),630175461322,4.25,8.6,13.8
Focus DAILIES All Day Comfort (30 lenses),630175461315,4.5,8.6,13.8
Focus DAILIES All Day Comfort (30 lenses),630175461308,4.75,8.6,13.8
Focus DAILIES All Day Comfort (30 lenses),630175461292,5,8.6,13.8
Focus DAILIES All Day Comfort (30 lenses),630175461285,5.25,8.6,13.8
Focus DAILIES All Day Comfort (30 lenses),630175461278,5.5,8.6,13.8
Focus DAILIES All Day Comfort (30 lenses),630175461261,5.75,8.6,13.8
Focus DAILIES All Day Comfort (30 lenses),630175461254,6,8.6,13.8
